SAP NPM_915-00235_A,Количество
1051205,1
1056349,1
1059303,1
1051165,1
1056364,1
1056350,4
1038864,3
1051166,1
1045999,3
1056362,6
1056324,2
1056370,1
1056537,1
1051175,1
1051200,1
1056333,1
1056539,1
1056352,1
1051163,1
1058182,2
1047864,3
1030539,1
1056365,3
1052040,6
1055758,1
1056326,1
1051178,2
1051201,1
1059306,1
1056344,4
1059304,1
1051168,1
1051164,1
1056885,3
1056330,1
1056540,1
1051167,2
1056531,1
1056534,1
1014274,2
1051177,1
1056538,4
1059094,1
1056393,3
1056357,2
1051210,2
